regex;pcre [ms];pcre-dfa [ms];pcre-jit [ms];re2 [ms];onig [ms];tre [ms];hscan [ms];rust_regex [ms];pcre [sp];pcre-dfa [sp];pcre-jit [sp];re2 [sp];onig [sp];tre [sp];hscan [sp];rust_regex [sp];pcre [matches];pcre-dfa [matches];pcre-jit [matches];re2 [matches];onig [matches];tre [matches];hscan [matches];rust_regex [matches];
Twain;    3.0;   13.7;   15.4;    2.0;   16.8;  223.5;    1.1;    1.9;0;0;0;3;0;0;5;4;811;811;811;811;811;811;811;811;
(?i)Twain;   47.8;   64.5;   15.9;   48.9;   28.0;  281.4;    1.3;   16.7;0;0;4;0;0;0;5;3;965;965;965;965;965;965;965;965;
[a-z]shing;  340.5;  501.2;   14.6;   82.3;   14.5;  324.4;    3.9;    5.7;0;0;0;0;3;0;5;4;1540;1540;1540;1540;1540;1540;1540;1540;
Huck[a-zA-Z]+|Saw[a-zA-Z]+;   16.5;   17.4;    2.3;   32.8;   30.0;  329.2;    2.3;    2.4;0;0;4;0;0;0;5;3;262;262;262;262;262;262;977;262;
\b\w+nn\b;  490.4;  708.1;   79.2;   37.1;  508.0;  545.7;  100.5;  163.5;0;0;4;5;0;0;3;0;262;262;262;262;262;262;262;262;
[a-q][^u-z]{13}x;  402.0; 1354.0;    1.6;  155.8;   35.1;  802.9;   56.8; 2477.2;0;0;5;0;4;0;3;0;4094;4094;4094;4094;4094;4094;4094;4094;
Tom|Sawyer|Huckleberry|Finn;   22.4;   22.3;   23.2;   36.2;   34.5;  508.0;    2.6;   38.0;3;4;0;0;0;0;5;0;2598;2598;2598;2598;2598;2598;2598;2598;
(?i)Tom|Sawyer|Huckleberry|Finn;  262.2;  259.8;   63.8;   69.4;  253.7;  741.1;    3.0;   39.3;0;0;3;0;0;0;5;4;4152;4152;4152;4152;4152;4152;4152;4152;
.{0,2}(Tom|Sawyer|Huckleberry|Finn); 3426.3; 2415.8;  199.8;   41.0;   60.5; 1625.5;    2.7;   32.9;0;0;0;3;0;0;5;4;2598;2598;2598;2598;2598;2598;2598;2598;
.{2,4}(Tom|Sawyer|Huckleberry|Finn); 3849.6; 2941.8;  218.9;   40.7;   59.7; 2532.3;    3.0;   33.1;0;0;0;3;0;0;5;4;1976;1976;1976;1976;1976;1976;2598;1976;
Tom.{10,25}river|river.{10,25}Tom;   49.8;   55.7;   13.3;   40.1;   60.9;  382.7;    2.2;   13.9;0;0;4;0;0;0;5;3;2;2;2;2;2;2;4;2;
[a-zA-Z]+ing;  755.5; 1095.5;   69.1;   94.7;  507.5;  428.1;   14.7;   13.6;0;0;3;0;0;0;4;5;78424;78424;78424;78424;78424;78424;78872;78424;
\s[a-zA-Z]{0,12}ing\s;  328.0;  437.3;   86.7;   57.9;   59.5;  573.6;   20.7;   37.9;0;0;0;3;0;0;5;4;55248;55248;55248;55248;55248;55248;55640;55248;
([A-Za-z]awyer|[A-Za-z]inn)\s;  721.1;  738.4;   31.5;   79.5;  140.2;  619.2;    4.9;   32.7;0;0;4;0;0;0;5;3;209;209;209;209;209;209;209;209;
["'][^"']{0,30}[?!\.]["'];   43.3;   57.6;    9.0;   39.0;   58.1;  304.8;   13.0;    9.2;0;0;5;0;0;0;3;4;8886;8886;8886;8886;8886;8886;8898;8886;
∞|✓;    0.9;   11.4;    1.1;    0.8;   33.0;  263.6;    1.7;   37.9;4;0;3;5;0;0;0;0;2;2;2;2;2;2;2;2;
\p{Sm};  333.6;  443.1;   39.8;   30.3;    0.0;    0.0;    1.6;   32.5;0;0;0;4;0;0;5;3;68;68;68;68;0;0;68;69;
